parent_image_id,parent_filename,child_cropped_id,child_filename,display_title,corpus_layer,source_type,Author,motif_specific,motif_group,object_type,place_of_origin,iconclass_code,year,Link
FOR_TXT_006,"Matrice di stampa in tela cerata, Manifattura Fortuny, 1910, Venezia, 33x121,5 cm, Museo Fortuny, inv. 121d.-2",FOR_TXT_006_CROP_01,FOR_TXT_006_murex_shell_01.jpg,"Murex shell motif — Waxed-canvas printing matrix, Manifattura Fortuny, 1910, inv. 121d",reception,Museum Fortuny,Mariano Fortuny,murex_shell,marine,printing_matrix,Venice,25F72(MUREX),1910,https://www.archiviodellacomunicazione.it/sicap/OpereArte/512795/?WEB=MuseiVE
FOR_TXT_006,"Matrice di stampa in tela cerata, Manifattura Fortuny, 1910, Venezia, 33x121,5 cm, Museo Fortuny, inv. 121d.-2",FOR_TXT_006_CROP_02,FOR_TXT_006_murex_shell_02.jpg,"Murex shell motif — Waxed-canvas printing matrix, Manifattura Fortuny, 1910, inv. 121d",reception,Museum Fortuny,Mariano Fortuny,murex_shell,marine,printing_matrix,Venice,25F72(MUREX),1910,https://www.archiviodellacomunicazione.it/sicap/OpereArte/512795/?WEB=MuseiVE
FOR_TXT_008,"M_Prova di stampa cartacea da matrice lignea, Mariano Fortuny, 1906 ca, Venezia, xilografia su carta, 40x27,5 cm, Museo Fortuny, inv. n. 00707.",FOR_TXT_008_CROP_01,FOR_TXT_008_argonaut_01.jpg,"Argonaut motif — Paper proof from a woodblock matrix by Mariano Fortuny, ca. 1906, inv. 00707",reception,Museum Fortuny,Mariano Fortuny,argonaut,marine,proof_print,Venice,25F72(NAUTILUS),1906,https://artsandculture.google.com/asset/print-sample-mariano-fortuny/swHGKpW15DH8qg?hl=en
ARC_OBJ_006,heraklionmuseum Clay Marine Style rhyton Heraklion,ARC_OBJ_006_CROP_02,ARC_OBJ_006_shell_02.jpg,Murex shell motif — Marine Style clay rhyton,archaeological,Heraklion Archaeological Museum,unknown,murex_shell,marine,rhyton,Zakros,25F72(MUREX),-1475,https://ca.heraklionmuseum.gr/ca/pawtucket/index.php/Detail/objects/167
ARC_OBJ_008,heraklionmuseum Marine Style rhyton,ARC_OBJ_008_CROP_01,ARC_OBJ_008_octopus_01.jpg,Octopus motif — Marine Style rhyton,archaeological,Heraklion Archaeological Museum,unknown,octopus,marine,rhyton,Palaikastro,25F72(OCTOPUS),-1475,https://ca.heraklionmuseum.gr/ca/pawtucket/index.php/Detail/objects/755
FOR_SHAW_003,"Mariano Fortuny Modello di scialle Knossos, 1910 ca. Archivi Museo Fortuny(35 caloi scialle)",FOR_SHAW_003_CROP_01,FOR_SHAW_003_octopus_01.jpg,"Octopus motif — Model for a Knossos shawl by Mariano Fortuny, ca. 1910",reception,Museum Fortuny,Mariano Fortuny,octopus,marine,shawl,Venice,25F72(OCTOPUS),1910,https://artsandculture.google.com/asset/model-for-the-knossos-scarf-mariano-fortuny/zwFwMjRZzZv99A?hl=en&ms=%7B%22x%22%3A0.5520507683483069%2C%22y%22%3A0.5480857211003844%2C%22z%22%3A9.653285241929117%2C%22size%22%3A%7B%22width%22%3A1.362510077166617%2C%22height%22%3A0.8745303633067729%7D%7D
ARC_VAS_009,Flask with octopus and seabed in the Marine Style_heraklionmuseum,ARC_VAS_009_CROP_01,ARC_VAS_009_octopus_01.jpg,Octopus motif — Flask with octopus and seabed in the Marine Style,archaeological,Heraklion Archaeological Museum,unknown,octopus,marine,vessel,Palaikastro,25F72(OCTOPUS),-1475,https://ca.heraklionmuseum.gr/ca/pawtucket/index.php/Detail/objects/238
ARC_VAS_011,heraklionmuseum Clay goblet with Marine Style decoration,ARC_VAS_011_CROP_01,ARC_VAS_011_murex_shell_01.jpg,Murex shell motif — Clay goblet with Marine Style decoration,archaeological,Heraklion Archaeological Museum,unknown,murex_shell,marine,goblet,Knossos,25F72(MUREX),-1475,https://ca.heraklionmuseum.gr/ca/pawtucket/index.php/Detail/objects/224
ARC_VAS_011,heraklionmuseum Clay goblet with Marine Style decoration,ARC_VAS_011_CROP_02,ARC_VAS_011_argonaut_02.jpg,Argonaut motif — Clay goblet with Marine Style decoration,archaeological,Heraklion Archaeological Museum,unknown,argonaut,marine,goblet,Knossos,25F72(NAUTILUS),-1475,https://ca.heraklionmuseum.gr/ca/pawtucket/index.php/Detail/objects/224
ARC_VAS_014,heraklionmuseum Jug with relief and painted Marine Style decoration,ARC_VAS_014_CROP_01,ARC_VAS_014_argonaut_01.jpg,Argonaut motif — Jug with relief and painted Marine Style decoration,archaeological,Heraklion Archaeological Museum,unknown,argonaut,marine,jug,Poros,25F72(NAUTILUS),-1475,https://ca.heraklionmuseum.gr/ca/pawtucket/index.php/Detail/objects/190
ARC_VAS_019,heraklionmuseum Small bridge-spouted kados with Marine Style decoration,ARC_VAS_019_CROP_01,ARC_VAS_019_murex_shell_01.jpg,Murex shell motif — Small bridge-spouted kados with Marine Style decoration,archaeological,Heraklion Archaeological Museum,unknown,murex_shell,marine,vessel,Nirou Chani,25F72(MUREX),-1475,https://ca.heraklionmuseum.gr/ca/pawtucket/index.php/Detail/objects/296
ARC_VAS_021,Marine Style stirrup jar_heraklionmuseum,ARC_VAS_021_CROP_01,ARC_VAS_021_octopus_01.jpg,Octopus motif — Marine Style stirrup jar,archaeological,Heraklion Archaeological Museum,unknown,octopus,marine,jar,Gournia,25F72(OCTOPUS),-1475,https://ca.heraklionmuseum.gr/ca/pawtucket/index.php/Detail/objects/206
ARC_VAS_024,Marine Style rhyton in the Special Palatial Tradition_heraklionmuseum,ARC_VAS_024_CROP_01,ARC_VAS_024_argonaut_01.jpg,Argonaut motif — Marine Style rhyton in the Special Palatial Tradition,archaeological,Heraklion Archaeological Museum,unknown,argonaut,marine,rhyton,Phaistos,25F72(NAUTILUS),-1475,https://ca.heraklionmuseum.gr/ca/pawtucket/index.php/Detail/objects/810
ARC_OBJ_004,"Clay chest larnax with papyri, waterfowl and fish_heraklionmuseum",ARC_OBJ_004_CROP_01,ARC_OBJ_004_papyrus_flower_01.jpg,"Papyrus flower motif — Clay chest larnax with papyri, waterfowl, and fish",archaeological,Heraklion Archaeological Museum,unknown,papyrus_flower,floral,larnax,Vassilika Anogia,25G41,-1335,https://ca.heraklionmuseum.gr/ca/pawtucket/index.php/Detail/objects/137
ARC_OBJ_004,"Clay chest larnax with papyri, waterfowl and fish_heraklionmuseum",ARC_OBJ_004_CROP_02,ARC_OBJ_004_papyrus_flower_02.jpg,"Papyrus flower motif — Clay chest larnax with papyri, waterfowl, and fish",archaeological,Heraklion Archaeological Museum,unknown,papyrus_flower,floral,larnax,Vassilika Anogia,25G41,-1335,https://ca.heraklionmuseum.gr/ca/pawtucket/index.php/Detail/objects/137
ARC_OBJ_002,The Hagia Triada Sarcophagus heraklionmuseum,ARC_OBJ_002_CROP_01,ARC_OBJ_002_spiral_01.jpg,Spiral group motif — Hagia Triada Sarcophagus,archaeological,Heraklion Archaeological Museum,unknown,spiral_group,geometric,sarcophagus,Hagia Triada,48A98133,-1345,https://heraklionmuseum.gr/en/exhibit/the-hagia-triada-sarcophagus/
ARC_VAS_018,heraklionmuseum Ritual jug with protrusions and painted decoration,ARC_VAS_018_CROP_02,ARC_VAS_018_argonaut_02.jpg,Argonaut motif — Ritual jug with protrusions and painted decoration,archaeological,Heraklion Archaeological Museum,unknown,argonaut,marine,jug,Katsambas,25F72(NAUTILUS),-1550,https://ca.heraklionmuseum.gr/ca/pawtucket/index.php/Detail/objects/766
BOOK_030,"Archaeology Of Crete Introduction by Pendlebury, J.d.s-277.tiff",BOOK_030_CROP_02,BOOK_030_octopus_02.jpg,"Octopus motif — J. D. S. Pendlebury, Archaeology of Crete: An Introduction, p. 277",publication,"Archaeology Of Crete. Introduction, J.d.s. Pendlebury ",,octopus,marine,book_illustration,Crete,25F72(OCTOPUS),1939,https://archive.org/details/in.ernet.dli.2015.529784/page/n277/mode/1up
ARC_OBJ_005,heraklionmuseum Basket-shaped rhyton with decoration in the Special Palatial Tradition,ARC_OBJ_005_CROP_02,ARC_OBJ_005_double_axe_02.jpg,Double-axe motif — Basket-shaped rhyton with decoration in the Special Palatial Tradition,archaeological,Heraklion Archaeological Museum,unknown,double_axe,symbolic,rhyton,Pseira,47D8(AXE),-1475,https://ca.heraklionmuseum.gr/ca/pawtucket/index.php/Detail/objects/753
